Timestamp, LinkStatus, FirmwareVersion, Profile, Upstream, Downstream, SNR1, SNR2
1594476856, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476866, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476876, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 11, 17
1594476886, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476896, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476906, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594476916, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476927, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476937, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476947, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 0, 17
1594476957, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594476967, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594476977, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594476987, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
